,Home,Away,HW,D,AW,outcome,B365H,B365D,B365A,predicted_outcome,predicted_percent,payouts,total_payouts
92,25,24,0.6656031488022032,0.185326403411121,0.15967824359947394,0,1.24,6.0,11.0,0,0.6656031488022032,62.0,967.0
93,24,46,0.3190981454326368,0.23697889754104975,0.46153466950926375,1,2.75,3.6,2.38,2,0.46153466950926375,-50.0,917.0
94,49,24,0.4655876305484457,0.2481999450175414,0.30467694981826104,0,2.25,3.25,3.3,0,0.4655876305484457,112.5,979.5
95,11,24,0.41415291231283685,0.2629066713101513,0.3420832171536613,2,2.88,3.2,2.5,0,0.41415291231283685,-50.0,929.5
96,24,23,0.5447083563172769,0.2294722718044757,0.24286967629014175,0,1.78,3.9,4.2,0,0.5447083563172769,89.0,968.5
97,0,24,0.5974404373222584,0.21876033567049083,0.20001422658622794,0,1.5,4.33,6.0,0,0.5974404373222584,75.0,993.5
98,24,16,0.402104822433033,0.2634472474833158,0.35361350630462995,0,2.38,3.4,2.9,0,0.402104822433033,119.0,1062.5
99,29,24,0.3645150026417892,0.26002355832965157,0.39451305725959207,0,2.2,3.3,3.3,2,0.39451305725959207,-50.0,1012.5
100,18,24,0.31124656118949784,0.26230136574951113,0.44555347109769483,1,2.3,3.4,3.0,2,0.44555347109769483,-50.0,962.5
101,24,1,0.3865185706280772,0.25884580953627273,0.3736444026836434,1,2.75,3.25,2.55,0,0.3865185706280772,-50.0,912.5
102,43,24,0.5877179300813676,0.22554996576560277,0.2036860926375673,0,1.44,4.6,6.5,0,0.5877179300813676,72.0,934.5
103,24,18,0.4617670448458402,0.2649848442100266,0.2924184085024886,2,2.5,3.25,2.8,0,0.4617670448458402,-50.0,884.5
104,24,30,0.6378041617510476,0.2250302232785291,0.15464737062582445,0,1.42,4.5,7.5,0,0.6378041617510476,71.0,905.5
105,44,24,0.21507158663155004,0.24878226546898996,0.5546938188958698,2,3.6,3.5,2.0,2,0.5546938188958698,100.0,955.5
106,14,24,0.5915266487463884,0.21866050442680807,0.20592448500736837,1,1.35,4.75,9.0,0,0.5915266487463884,-50.0,905.5
